LOBO 0019 - Yaquina
Yaquina Bay
date [PST]	CDOM [QSDE]	conductivity [S/m]	dissolved oxygen [ml/l]	fluorescence [ug/L]	nitrate [uM]	oxygen saturation [ml/l]	oxygen % saturation [%]	PAR	phosphate concentration [uM]	pressure [dBar]	ps voltage [V]	salinity	scattering coeff [1/m*sr]	temperature [C]	turbidity [NTU]
2007-11-01 15:00:00	6.16	3.61	5.03	0.70	29.1	6.31	79.7			2.670	14.1	32.51	0.005872	10.52	2.00
2007-11-01 16:00:00	6.23	3.61	4.70	0.74	27.6	6.32	74.5			2.664	14.1	32.51	0.007129	10.50	2.43
2007-11-01 17:00:00	6.03	3.61	4.75	0.81	26.5	6.32	75.1			2.670	14.1	32.63	0.007451	10.42	2.54
2007-11-01 18:00:00	5.83	3.62	5.74	0.80	25.8	6.32	90.8			2.670	14.1	32.77	0.005496	10.37	1.87
2007-11-01 19:00:00	5.78	3.63	6.03	0.81	25.1	6.32	95.4			2.670	14.1	32.81	0.006138	10.36	2.09
2007-11-01 20:00:00	6.21	3.61	6.09	0.84	23.3	6.32	96.4			2.670	14.1	32.60	0.006626	10.43	2.26
2007-11-01 21:00:00	6.53	3.60	5.75	0.83	22.0	6.32	91.0			2.678	14.1	32.37	0.007253	10.52	2.47
2007-11-01 22:00:00	6.82	3.58	5.73	0.91	20.7	6.31	90.7			2.680	14.1	32.05	0.007654	10.66	2.61
2007-11-01 23:00:00	6.79	3.58	5.08	0.86	20.7	6.32	80.4			2.680	14.1	32.19	0.007154	10.56	2.44
2007-11-02 00:00:00	6.75	3.58	5.70	0.85	20.6	6.32	90.3			2.680	14.1	32.22	0.006739	10.55	2.30
2007-11-02 01:00:00	6.67	3.59	5.76	0.85	20.4	6.32	91.1			2.690	14.1	32.32	0.006093	10.49	2.08
2007-11-02 03:00:00	7.47	3.51	5.74	0.81	19.7	6.36	90.3			2.680	14.1	31.60	0.005912	10.44	2.02
2007-11-02 04:00:00	7.55	3.52	5.81	0.85	19.3	6.35	91.6			2.680	14.1	31.63	0.005739	10.53	1.96
2007-11-02 05:00:00	7.22	3.54	5.45	0.79	19.1	6.34	86.0			2.680	14.1	31.84	0.006195	10.50	2.11
2007-11-02 06:00:00	6.83	3.56	5.50	0.81	19.3	6.34	86.8			2.680	14.1	32.08	0.006749	10.47	2.30
2007-11-02 07:00:00	6.30	3.59	5.07	0.65	22.7	6.38	79.4			2.690	14.1	32.78	0.006665	9.93	2.27
2007-11-02 08:00:00	6.05	3.58	5.07	0.53	24.0	6.40	79.2			2.699	14.1	32.92	0.005924	9.75	2.02
2007-11-02 09:00:00		3.58	4.90	0.49	24.5	6.42	76.3			2.700	13.9	33.08	0.006727	9.60	2.29
2007-11-02 10:00:00	6.11	3.57	4.91	0.52	24.1	6.42	76.5			2.699	14.1	32.83	0.005711	9.67	1.95
2007-11-02 11:00:00	5.99	3.58	4.44	0.50	24.4	6.41	69.2			2.700	14.1	32.95	0.005738	9.66	1.96
2007-11-02 12:00:00	6.06	3.58	4.90	0.48	23.8	6.40	76.6			2.695	14.2	32.83	0.005090	9.78	1.74
2007-11-02 13:00:00	6.13	3.59	5.17	0.53	22.8	6.37	81.1			2.690	14.2	32.69	0.005038	10.03	1.72
2007-11-02 14:00:00	6.27	3.59	5.37	0.59	22.3	6.36	84.5			2.690	14.2	32.57	0.005118	10.16	1.75
2007-11-02 15:00:00	6.36	3.57	5.31	0.66	22.4	6.37	83.3			2.690	14.2	32.52	0.005447	10.09	1.86
2007-11-02 16:00:00	6.37	3.58	5.18	0.64	22.4	6.37	81.3			2.680	14.2	32.54	0.005304	10.08	1.81
2007-11-02 17:00:00	6.39	3.57	5.09	0.70	22.6	6.39	79.8			2.690	14.1	32.57	0.005761	9.97	1.97
2007-11-02 18:00:00	6.39	3.57	4.80	0.81	22.7	6.39	75.2			2.690	14.1	32.61	0.005715	9.97	1.95
2007-11-02 19:00:00		3.60	5.39	0.76	23.3	6.38	84.4			2.690	14.0	32.94	0.005573	9.89	1.90
2007-11-02 20:00:00	6.13	3.59	5.81	0.77	23.3	6.39	90.9			2.690	14.1	32.92	0.006342	9.87	2.16
2007-11-02 21:00:00	6.58	3.57	5.73	0.75	22.6	6.39	89.6			2.683	14.1	32.59	0.006058	9.92	2.07
2007-11-02 22:00:00	6.70	3.56	5.60	0.79	22.1	6.39	87.6			2.700	14.1	32.45	0.006667	9.99	2.27
2007-11-02 23:00:00		3.56	5.29	0.80	22.0	6.39	82.7			2.700	13.9	32.50	0.006072	9.96	2.07
2007-11-03 00:00:00	6.74	3.55	5.15	0.78	22.0	6.39	80.6			2.700	14.1	32.43	0.006898	9.98	2.35
2007-11-03 01:00:00											14.1				
2007-11-03 02:00:00		3.56	5.77	0.76	22.3	6.40	90.2			2.700	14.1	32.51	0.005719	9.93	1.95
2007-11-03 04:00:00	7.43	3.49	5.80	0.81	21.0	6.42	90.4			2.690	14.1	31.82	0.006526	9.98	2.23
2007-11-03 05:00:00	7.64	3.49	5.62	0.83	20.9	6.42	87.6			2.690	14.1	31.71	0.005964	10.01	2.03
2007-11-03 06:00:00	7.54	3.51	5.35	0.85	21.0	6.40	83.5			2.685	14.1	31.87	0.005864	10.05	2.00
2007-11-03 07:00:00	7.12	3.53	5.44	0.74	21.8	6.40	85.0			2.680	14.1	32.17	0.006447	9.98	2.20
2007-11-03 08:00:00	6.58	3.56	5.24	0.70	22.9	6.41	81.7			2.680	14.1	32.61	0.006672	9.81	2.28
2007-11-03 09:00:00											14.1				
2007-11-03 10:00:00											14.1				
2007-11-03 11:00:00	6.22	3.56	5.06	0.61	24.9	6.43	78.7			2.670	14.2	32.90	0.005802	9.56	1.98
2007-11-03 12:00:00											14.1				
2007-11-03 14:00:00	6.25	3.59	5.52	0.61	24.1	6.38	86.6			2.651	14.2	32.76	0.005198	9.98	1.77
2007-11-03 15:00:00	6.29	3.59	5.37	0.66	23.8	6.37	84.4			2.650	14.2	32.68	0.005289	10.08	1.80
2007-11-03 16:00:00	6.59	3.57	5.47	0.75	23.4	6.38	85.7			2.650	14.2	32.52	0.005687	10.02	1.94
2007-11-03 17:00:00											14.1				
2007-11-03 18:00:00											14.1				
2007-11-03 20:00:00		3.58	5.43	0.89	23.7	6.39	85.0			2.650	14.0	32.73	0.005446	9.90	1.86
2007-11-03 21:00:00		3.59	5.79	0.96	23.4	6.39	90.7			2.650	13.9	32.84	0.005724	9.89	1.95
2007-11-03 22:00:00	6.46	3.58	5.63	0.99	23.3	6.39	88.2			2.649	14.1	32.78	0.006906	9.89	2.36
2007-11-03 23:00:00	6.68	3.56	5.72	0.95	22.7	6.39	89.5			2.647	14.1	32.56	0.006605	9.94	2.25
2007-11-04 00:00:00	6.76	3.56	5.49	1.01	22.4	6.39	86.0			2.650	14.1	32.46	0.007308	9.99	2.49
2007-11-04 01:00:00	6.83	3.56	5.10	0.88	22.7	6.39	79.7			2.650	14.1	32.54	0.006225	9.94	2.12
2007-11-04 02:00:00	6.89	3.56	5.59	0.92	22.4	6.39	87.4			2.650	14.1	32.48	0.006441	9.96	2.20
2007-11-04 04:00:00	6.97	3.54	5.74	0.89	22.0	6.40	89.6			2.640	14.1	32.35	0.006306	9.93	2.15
2007-11-04 05:00:00	7.43	3.52	5.49	0.88	21.7	6.41	85.7			2.640	14.1	32.14	0.005982	9.94	2.04
2007-11-04 06:00:00	7.42	3.52	5.70	0.91	21.8	6.40	89.0			2.640	14.1	32.06	0.005984	10.01	2.04
2007-11-04 07:00:00	7.44	3.52	5.39	0.92	21.9	6.40	84.2			2.640	14.1	32.09	0.006007	10.00	2.05
2007-11-04 09:00:00	6.54	3.57	5.35	0.80	23.7	6.41	83.4			2.640	14.1	32.75	0.006496	9.74	2.22
2007-11-04 10:00:00											14.1				
2007-11-04 11:00:00		3.58	5.13	0.67		6.42	79.9			2.640	14.0	33.01	0.006020	9.59	2.05
2007-11-04 12:00:00											14.1				
2007-11-04 13:00:00	6.74	3.57	5.40	0.80	23.4	6.39	84.4			2.630	14.2	32.58	0.006441	9.94	2.20
2007-11-04 14:00:00	6.65	3.57	5.38	0.83	23.8	6.39	84.1			2.620	14.2	32.66	0.006388	9.90	2.18
2007-11-04 15:00:00	6.46	3.59	5.34	0.84	23.8	6.37	83.8			2.620	14.2	32.69	0.005687	10.03	1.94
2007-11-04 16:00:00	6.52	3.59	5.72	0.83	23.5	6.35	90.1			2.620	14.2	32.61	0.005490	10.23	1.87
2007-11-04 17:00:00	6.57	3.59	5.53	0.89	23.6	6.36	86.9			2.620	14.2	32.64	0.005179	10.17	1.77
2007-11-04 18:00:00	6.66	3.58	5.31	1.02	23.4	6.37	83.3			2.620	14.1	32.55	0.005862	10.08	2.00
2007-11-04 19:00:00	6.91	3.57	5.22	1.08	23.0	6.38	81.8			2.620	14.1	32.45	0.005593	10.08	1.91
2007-11-04 20:00:00	6.96	3.57	5.00	1.15	22.8	6.38	78.5			2.611	14.1	32.48	0.005650	10.06	1.93
2007-11-04 21:00:00	6.66	3.58	5.12	1.14	23.6	6.38	80.2			2.610	14.1	32.66	0.006048	9.99	2.06
2007-11-04 22:00:00	6.40	3.59	5.56	0.84	25.0	6.40	86.9			2.610	14.1	32.98	0.004931	9.76	1.68
2007-11-04 23:00:00	6.21	3.59	5.28	0.91	25.3	6.40	82.5			2.610	14.1	33.06	0.006297	9.73	2.15
2007-11-05 00:00:00		3.58	5.16	0.88	24.7	6.40	80.7			2.610	13.9	32.85	0.006395	9.80	2.18
2007-11-05 01:00:00											14.1				
2007-11-05 02:00:00	6.66	3.58	5.02	0.92	24.1	6.40	78.4			2.610	14.1	32.77	0.006802	9.84	2.32
2007-11-05 03:00:00	6.83	3.57	5.50	0.94	23.9	6.40	86.0			2.610	14.1	32.68	0.006491	9.85	2.21
2007-11-05 04:00:00	6.77	3.57	5.66	0.81	24.0	6.40	88.4			2.610	14.1	32.71	0.005366	9.82	1.83
2007-11-05 06:00:00											14.1				
2007-11-05 07:00:00	7.36	3.54	5.39	0.88	22.9	6.40	84.3			2.600	14.1	32.31	0.005758	9.94	1.96
2007-11-05 08:00:00	7.12	3.56	5.31	0.78	23.5	6.40	83.0			2.600	14.1	32.54	0.007498	9.89	2.56
2007-11-05 09:00:00	6.66	3.57	5.00	0.71	25.5	6.43	77.8			2.604	14.1	32.92	0.006952	9.56	2.37
2007-11-05 10:00:00	6.42	3.57	4.92	0.70	26.1	6.44	76.5			2.600	14.1	33.04	0.006260	9.49	2.13
2007-11-05 11:00:00	6.14	3.58	5.03	0.65	27.2	6.44	78.1			2.595	14.2	33.24	0.006386	9.37	2.18
2007-11-05 12:00:00	6.15	3.58	4.92	0.64	27.0	6.44	76.4			2.590	14.2	33.20	0.006183	9.43	2.11
2007-11-05 14:00:00	6.71	3.58	5.12	0.73	25.3	6.40	80.1			2.580	14.3	32.79	0.007089	9.85	2.42
2007-11-05 15:00:00	6.71	3.58	4.83	0.77	25.2	6.40	75.6			2.580	14.2	32.82	0.006818	9.83	2.33
2007-11-05 16:00:00	6.65	3.59	5.16	0.76	25.5	6.39	80.9			2.580	14.2	32.83	0.006086	9.90	2.08
2007-11-05 17:00:00	6.63	3.59	5.30	0.79	25.5	6.38	83.0			2.580	14.2	32.84	0.005647	9.91	1.93
2007-11-05 18:00:00	6.98	3.58	5.18	0.93	24.8	6.38	81.2			2.580	14.2	32.68	0.005798	10.01	1.98
2007-11-05 19:00:00	7.02	3.58	5.08	0.96	24.5	6.37	79.8			2.580	14.1	32.62	0.006002	10.05	2.05
2007-11-05 20:00:00	7.14	3.57	5.20	1.04	24.4	6.38	81.6			2.580	13.9	32.55	0.005837	10.04	1.99
2007-11-05 21:00:00	7.11	3.57	4.93	1.12	24.5	6.38	77.3			2.580	14.1	32.57	0.005954	10.03	2.03
2007-11-05 22:00:00	6.77	3.59	4.89	0.99	25.1	6.39	76.5			2.580	14.1	32.82	0.006285	9.89	2.14
2007-11-05 23:00:00	6.26	3.59	5.27	0.86	26.1	6.41	82.2			2.578	14.1	33.06	0.005711	9.69	1.95
2007-11-06 00:00:00	6.31	3.59	5.30	0.86	26.4	6.42	82.5			2.580	14.1	33.17	0.006619	9.58	2.26
2007-11-06 01:00:00	6.60	3.58	5.16	0.85	26.1	6.42	80.4			2.579	14.1	32.99	0.006585	9.64	2.25
2007-11-06 02:00:00	6.96	3.57	5.18	0.90	25.2	6.41	80.8			2.580	14.1	32.80	0.007000	9.73	2.39
2007-11-06 03:00:00	6.73	3.58	5.18	0.81	25.8	6.42	80.7			2.580	14.1	32.94	0.006272	9.64	2.14
2007-11-06 04:00:00	6.91	3.57	5.30	0.79	25.5	6.42	82.6			2.580	14.1	32.84	0.005700	9.66	1.94
2007-11-06 05:00:00	6.83	3.56	5.24	0.76	25.4	6.44	81.4			2.579	14.1	32.93	0.005477	9.52	1.87
2007-11-06 06:00:00	7.18	3.56	5.54	0.85	24.9	6.42	86.3			2.570	14.1	32.70	0.005824	9.69	1.99
2007-11-06 07:00:00	7.32	3.55	5.51	0.88	24.7	6.41	85.9			2.579	14.1	32.58	0.005989	9.78	2.04
2007-11-06 08:00:00	7.36	3.55	5.28	0.76	24.7	6.42	82.3			2.580	14.1	32.59	0.005969	9.76	2.04
2007-11-06 09:00:00	7.21	3.55	4.98	0.82	25.0	6.42	77.6			2.580	14.1	32.67	0.006137	9.70	2.09
2007-11-06 16:00:00	7.20	3.58	4.90	0.96	24.3	6.37	76.9			2.580	14.5	32.67	0.007325	10.03	2.50
2007-11-06 17:00:00	7.18	3.58	5.16	1.00	24.4	6.37	80.9			2.580	14.5	32.64	0.006816	10.06	2.32
2007-11-06 18:00:00	6.95	3.59	5.42	0.98	24.6	6.38	84.9			2.590	14.5	32.75	0.005688	9.96	1.94
2007-11-06 19:00:00	7.23	3.58	5.27	1.13	24.7	6.38	82.5			2.590	14.5	32.69	0.006029	9.96	2.06
2007-11-06 20:00:00	7.43	3.57	5.15	1.07	24.1	6.38	80.7			2.590	14.3	32.48	0.005971	10.04	2.04
2007-11-06 21:00:00	7.47	3.57	5.33	1.12	24.3	6.38	83.5			2.590	14.5	32.49	0.006209	10.05	2.12
2007-11-06 22:00:00	7.33	3.57	4.91	1.12	24.1	6.38	76.9			2.600	14.5	32.59	0.006728	10.00	2.29
2007-11-06 23:00:00	6.89	3.58	4.81	1.37	24.1	6.39	75.2			2.600	14.5	32.84	0.006219	9.84	2.12
2007-11-07 00:00:00	6.35	3.59	5.30	1.83	23.0	6.41	82.7			2.600	14.5	33.10	0.005553	9.68	1.89
2007-11-07 01:00:00	6.54	3.59	5.38	1.69	23.2	6.41	84.0			2.600	14.5	33.02	0.006156	9.69	2.10
2007-11-07 02:00:00	6.60	3.58	5.42	1.71	22.9	6.41	84.6			2.600	14.5	32.96	0.005582	9.68	1.90
2007-11-07 03:00:00	6.90	3.56	5.33	1.46	23.0	6.42	83.1			2.600	14.5	32.79	0.005930	9.68	2.02
2007-11-07 04:00:00	6.70	3.58	5.19	1.57	22.7	6.41	80.9			2.600	14.5	32.95	0.006343	9.67	2.16
2007-11-07 05:00:00	6.69	3.57	5.31	1.45	22.9	6.42	82.7			2.600	14.5	32.94	0.005640	9.63	1.92
2007-11-07 06:00:00	6.66	3.57	5.51	1.46	23.0	6.43	85.7			2.600	14.5	32.97	0.005430	9.58	1.85
2007-11-07 07:00:00	7.08	3.56	5.51	1.31	22.8	6.42	85.9			2.600	14.5	32.78	0.005762	9.66	1.97
2007-11-07 08:00:00	7.15	3.56	5.51	1.13	23.3	6.42	85.9			2.600	14.5	32.73	0.006311	9.69	2.15
2007-11-07 09:00:00	7.11	3.56	5.31	1.16	23.3	6.42	82.8			2.603	14.5	32.73	0.005899	9.68	2.01
2007-11-07 10:00:00	7.03	3.56	4.83	1.28	22.9	6.42	75.2			2.600	14.2	32.78	0.006650	9.66	2.27
2007-11-07 11:00:00	6.33	3.58	5.49	1.66	22.8	6.42	85.6			2.590	14.1	33.04	0.004664	9.60	1.59
2007-11-07 13:00:00	6.41	3.59	5.40	1.63	22.3	6.41	84.3			2.580	14.2	33.05	0.006059	9.66	2.07
2007-11-07 14:00:00	6.65	3.59	5.65	1.53	22.7	6.40	88.3			2.570	14.1	32.97	0.006849	9.73	2.34
2007-11-07 15:00:00	7.19	3.57	5.56	1.30	22.1	6.39	87.0			2.580	14.1	32.69	0.007678	9.89	2.62
2007-11-07 19:00:00	7.64	3.56	5.67	1.25	21.9	6.40	88.6			2.580	14.1	32.55	0.005997	9.87	2.04
2007-11-07 20:00:00	7.53	3.55	5.45	1.47	22.3	6.40	85.3			2.580	14.1	32.45	0.006258	9.94	2.13
2007-11-07 21:00:00	7.84	3.55	5.39	1.38	22.3	6.39	84.4			2.580	14.1	32.39	0.006426	9.98	2.19
2007-11-07 23:00:00	7.57	3.56	5.19	1.43	22.3	6.39	81.2			2.570	14.1	32.58	0.007805	9.91	2.66
2007-11-08 01:00:00	6.57	3.57	5.22	1.35	23.7	6.43	81.3			2.565	14.1	33.00	0.005715	9.57	1.95
2007-11-08 04:00:00	6.79	3.57	4.93	1.39	23.2	6.43	76.7			2.550	14.1	33.00	0.006224	9.52	2.12
2007-11-08 05:00:00	6.76	3.57	5.00	1.19	23.2	6.44	77.6			2.550	14.1	33.02	0.005587	9.50	1.91
2007-11-08 06:00:00	6.73	3.57	5.09	1.13	23.3	6.44	79.0			2.550	14.1	33.05	0.006002	9.47	2.05
2007-11-08 07:00:00	6.91	3.56	5.04	1.14	23.4	6.44	78.3			2.550	14.1	32.96	0.005955	9.48	2.03
2007-11-08 08:00:00	7.08	3.56	5.38	1.10	22.4	6.44	83.6			2.549	14.1	32.86	0.006476	9.53	2.21
2007-11-08 09:00:00	7.07	3.56	5.35	1.08	22.4	6.44	83.0			2.546	14.1	32.84	0.006184	9.54	2.11
2007-11-08 11:00:00	7.02	3.56	4.82	1.13	22.3	6.44	74.8			2.540	14.1	32.89	0.005971	9.52	2.04
2007-11-08 13:00:00	6.62	3.59	5.34	1.23	23.0	6.42	83.2			2.530	14.1	33.11	0.005632	9.61	1.92
2007-11-08 15:00:00	7.17	3.58	5.73	1.08	22.2	6.39	89.7			2.509	14.1	32.86	0.007345	9.83	2.51
2007-11-08 16:00:00	7.50	3.57	5.51	1.07	21.6	6.39	86.2			2.522	14.1	32.68	0.008118	9.92	2.77
2007-11-08 17:00:00	7.41	3.57	5.13	1.17	21.6	6.39	80.3			2.520	14.1	32.57	0.007682	9.94	2.62
2007-11-08 18:00:00	7.51	3.57	5.46	1.10	21.4	6.39	85.5			2.526	14.1	32.68	0.007659	9.91	2.61
2007-11-08 20:00:00	7.64	3.57	5.73	1.14	22.1	6.39	89.5			2.528	14.1	32.62	0.006931	9.90	2.36
2007-11-08 22:00:00	8.03	3.55	5.86	1.17	21.6	6.39	91.6			2.535	14.1	32.36	0.007223	9.99	2.46
2007-11-09 00:00:00	7.73	3.56	5.30	1.53	21.8	6.40	82.9			2.527	14.1	32.62	0.006903	9.87	2.35
2007-11-09 05:00:00	7.15	3.58	6.06	1.75	20.0	6.40	94.7			2.540	14.1	32.83	0.006812	9.79	2.32
2007-11-09 07:00:00	7.11	3.57	6.35	1.49	20.1	6.40	99.3			2.540	14.1	32.78	0.005882	9.82	2.01
2007-11-09 08:00:00	7.28	3.57	6.25	1.39	20.2	6.40	97.7			2.545	14.1	32.74	0.007364	9.82	2.51
2007-11-09 10:00:00	7.26	3.57	5.94	1.37	20.6	6.40	92.8			2.540	14.1	32.76	0.006685	9.81	2.28
2007-11-09 11:00:00	7.22	3.57	5.77	1.43	20.4	6.40	90.1			2.540	14.1	32.77	0.006280	9.81	2.14
2007-11-09 12:00:00	6.75	3.58	6.18	1.82	17.8	6.39	96.8			2.530	14.1	32.77	0.005993	9.91	2.04
2007-11-09 13:00:00	6.76	3.58	6.47	1.75	18.0	6.39	101.3			2.521	14.1	32.77	0.006518	9.92	2.22
2007-11-09 14:00:00	7.03	3.58	6.49	1.57	18.5	6.38	101.7			2.520	14.1	32.74	0.007054	9.95	2.41
2007-11-09 17:00:00	7.97	3.57	6.04	1.31	19.2	6.37	94.8			2.500	14.1	32.41	0.009254	10.12	3.16
2007-11-09 18:00:00	7.94	3.57	5.83	1.42	19.0	6.37	91.4			2.500	14.1	32.45	0.008907	10.10	3.04
2007-11-09 20:00:00	7.70	3.57	6.08	1.35	19.0	6.37	95.3			2.490	14.1	32.53	0.008212	10.07	2.80
2007-11-09 22:00:00		3.55	6.13	1.32	19.9	6.38	96.2			2.486	14.0	32.20	0.007595	10.13	2.59
2007-11-10 00:00:00	8.40	3.55	6.02	1.31	20.1	6.38	94.4			2.485	14.1	32.18	0.007694	10.15	2.62
2007-11-10 01:00:00	7.97	3.55	5.85	1.31	19.6	6.38	91.7			2.483	14.1	32.20	0.007885	10.16	2.69
2007-11-10 02:00:00	6.74	3.60	6.11	2.02	15.2	6.34	96.3			2.483	14.1	32.61	0.006155	10.27	2.10
2007-11-10 03:00:00	7.35	3.60	6.38	1.88	15.6	6.35	100.6			2.482	14.1	32.61	0.007232	10.24	2.47
2007-11-10 04:00:00	7.83	3.56	6.46	1.58	17.2	6.36	101.6			2.482	14.1	32.25	0.011686	10.27	3.99
2007-11-10 05:00:00	7.75	3.57	6.31	1.59	16.8	6.36	99.2			2.500	14.1	32.36	0.011331	10.24	3.86
2007-11-10 07:00:00	7.88	3.56	6.21	1.38	16.9	6.36	97.7			2.520	14.1	32.28	0.008848	10.25	3.02
2007-11-10 08:00:00	7.81	3.57	6.26	1.16	16.9	6.36	98.5			2.530	14.1	32.32	0.008229	10.23	2.81
2007-11-10 09:00:00	7.80	3.57	5.93	1.20	16.7	6.36	93.2			2.531	14.1	32.33	0.008705	10.22	2.97
2007-11-10 12:00:00	6.56	3.60	6.42	1.33	13.3	6.30	101.9			2.532	14.2	32.28	0.004352	10.66	1.48
2007-11-10 14:00:00	6.63	3.61	6.56	1.32	13.0	6.29	104.3			2.530	14.2	32.23	0.004848	10.78	1.65
2007-11-10 15:00:00	7.07	3.60	6.47	1.14	14.1	6.30	102.7			2.520	14.2	32.27	0.006382	10.70	2.18
2007-11-10 16:00:00	7.10	3.60	6.54	1.11	14.2	6.30	103.9			2.520	14.2	32.26	0.006874	10.70	2.34
2007-11-10 17:00:00	7.48	3.60	6.43	1.10	14.6	6.30	102.1			2.520	14.2	32.25	0.006722	10.69	2.29
2007-11-10 18:00:00	8.10	3.58	6.23	1.16	16.3	6.32	98.6			2.520	14.1	32.12	0.008790	10.60	3.00
2007-11-10 19:00:00	7.17	3.60	5.81	1.11	14.1	6.30	92.2			2.530	14.1	32.22	0.005842	10.70	1.99
2007-11-10 20:00:00	7.72	3.59	6.24	1.08	15.1	6.31	98.9			2.537	14.1	32.24	0.008268	10.62	2.82
2007-11-11 00:00:00	8.50	3.55	6.00	1.17	17.2	6.34	94.7			2.550	14.1	31.91	0.007124	10.52	2.43
2007-11-11 01:00:00	8.35	3.56	5.67	1.14	16.5	6.33	89.6			2.550	14.1	32.01	0.008318	10.55	2.84
2007-11-11 03:00:00		3.60	6.04	1.31	15.9	6.33	95.3			2.556	14.0	32.52	0.005795	10.36	1.98
2007-11-11 04:00:00	6.94	3.60	6.18	1.18	15.3	6.33	97.5			2.562	14.1	32.52	0.006130	10.36	2.09
2007-11-11 06:00:00	7.07	3.59	6.07	1.12	15.3	6.34	95.7			2.580	14.1	32.45	0.006643	10.31	2.27
2007-11-11 08:00:00	7.22	3.58	6.09	0.85	15.3	6.35	95.9			2.590	14.1	32.44	0.006919	10.30	2.36
2007-11-11 09:00:00	7.26	3.58	6.23	0.85	15.6	6.34	98.3			2.599	14.1	32.42	0.007257	10.32	2.48
2007-11-11 10:00:00		3.58	6.11	0.85	15.6	6.35	96.2			2.608	14.0	32.36	0.006716	10.31	2.29
2007-11-11 11:00:00	7.33	3.58	6.03	0.82	15.5	6.34	95.1			2.610	14.1	32.36	0.006410	10.34	2.19
2007-11-11 12:00:00	7.28	3.59	5.79	0.79	15.3	6.33	91.4			2.607	14.1	32.36	0.005688	10.40	1.94
2007-11-11 14:00:00	6.80	3.61	6.47	0.99	14.3	6.31	102.6			2.597	14.2	32.43	0.004759	10.55	1.62
2007-11-11 16:00:00	7.34	3.60	6.47	0.80	14.9	6.31	102.6			2.575	14.2	32.29	0.007093	10.62	2.42
2007-11-11 17:00:00											14.1				
2007-11-11 18:00:00	8.10	3.57	6.37	0.94	15.3	6.33	100.7			2.580	14.1	32.05	0.009072	10.56	3.09
2007-11-11 19:00:00	8.15	3.57	5.99	0.94	15.5	6.33	94.7			2.570	14.1	32.06	0.008600	10.55	2.93
2007-11-11 21:00:00	8.01	3.57	6.13	0.84	15.3	6.33	96.9			2.570	14.1	32.10	0.007092	10.49	2.42
2007-11-11 22:00:00	8.02	3.57	6.11	0.88	15.4	6.33	96.6			2.560	14.1	32.09	0.007447	10.51	2.54
2007-11-11 23:00:00	8.54	3.54	6.45	0.97	16.1	6.34	101.8			2.550	14.1	31.79	0.007019	10.52	2.39
2007-11-12 01:00:00	8.63	3.54	5.63	0.96	16.2	6.34	88.8			2.520	14.1	31.79	0.007551	10.50	2.58
2007-11-12 02:00:00	8.31	3.55	5.68	0.91	15.6	6.34	89.6			2.520	14.1	31.95	0.009042	10.51	3.08
2007-11-12 04:00:00	6.97	3.59	6.09	1.03	13.9	6.32	96.3			2.479	14.1	32.38	0.006841	10.48	2.33
2007-11-12 05:00:00	7.32	3.59	6.32	0.99	14.1	6.33	99.9			2.468	14.1	32.34	0.005905	10.44	2.01
2007-11-12 06:00:00	7.12	3.59	6.32	0.97	13.8	6.33	99.8			2.473	14.1	32.36	0.006449	10.43	2.20
2007-11-12 07:00:00											14.1				
2007-11-12 09:00:00	7.57	3.56	6.69	0.85	14.3	6.35	105.3			2.458	14.1	32.18	0.007049	10.35	2.40
2007-11-12 11:00:00	7.69	3.55	6.49	0.91	14.3	6.35	102.2			2.474	14.1	32.07	0.007897	10.35	2.69
2007-11-12 12:00:00											14.1				
2007-11-12 13:00:00	7.69	3.56	6.34	0.92	14.1	6.35	99.9			2.491	14.1	32.08	0.008132	10.38	2.77
2007-11-12 15:00:00	7.03	3.58	6.40	1.28	13.3	6.31	101.4			2.514	14.1	32.14	0.007056	10.61	2.41
2007-11-12 18:00:00	8.44	3.53	6.13	1.10	14.4	6.36	96.3			2.550	14.1	31.83	0.017317	10.38	5.91
2007-11-12 19:00:00	8.30	3.53	6.11	1.05	14.3	6.36	96.1			2.570	14.1	31.83	0.014417	10.40	4.92
2007-11-12 20:00:00	8.35	3.53	5.93	1.06	14.2	6.36	93.2			2.580	14.1	31.82	0.012765	10.39	4.35
2007-11-12 21:00:00	8.41	3.53	6.01	1.04	14.3	6.36	94.5			2.590	14.1	31.79	0.010749	10.36	3.67
2007-11-12 22:00:00	8.46	3.53	6.04	0.99	13.8	6.36	94.9			2.600	14.1	31.82	0.013667	10.37	4.66
2007-11-12 23:00:00	8.55	3.52	6.08	1.04	14.3	6.37	95.5			2.620	14.1	31.75	0.011217	10.33	3.83
2007-11-13 01:00:00	8.82	3.50	5.75	1.00	14.9	6.37	90.2			2.630	14.1	31.60	0.009540	10.34	3.25
2007-11-13 03:00:00	8.02	3.54	6.04	1.02	14.4	6.35	95.1			2.650	14.1	31.83	0.008202	10.47	2.80
2007-11-13 04:00:00	7.15	3.58	6.47	1.10	12.8	6.31	102.6			2.660	14.1	32.11	0.006948	10.67	2.37
2007-11-13 05:00:00	7.54	3.59	6.42	1.09	12.9	6.30	101.8			2.670	14.1	32.13	0.007412	10.68	2.53
2007-11-13 06:00:00	7.13	3.59	6.44	1.08	12.7	6.30	102.1			2.680	14.1	32.16	0.007736	10.69	2.64
